added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.preview_url,track.available_markets,track.explicit,track.type,track.episode,track.track,track.artists,track.disc_number,track.track_number,track.duration_ms,track.href,track.id,track.name,track.popularity,track.uri,track.is_local,track.album.available_markets,track.album.type,track.album.album_type,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.uri,track.album.artists,track.album.total_tracks,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url
2022-05-22T20:35:57Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,5,251946,https://api.spotify.com/v1/tracks/2kjMpCZBF8fArH7B4yku9T,2kjMpCZBF8fArH7B4yku9T,Mine,45,spotify:track:2kjMpCZBF8fArH7B4yku9T,FALSE,,album,compilation,https://api.spotify.com/v1/albums/6ajOHOaVCHPplcCweNyMXP,6ajOHOaVCHPplcCweNyMXP,,"Glee: The Music, Season 4 Volume 1",2012-11-27,day,spotify:album:6ajOHOaVCHPplcCweNyMXP,,16,https://open.spotify.com/album/6ajOHOaVCHPplcCweNyMXP,USQX91201797,https://open.spotify.com/track/2kjMpCZBF8fArH7B4yku9T,NA
2022-05-22T20:36:54Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,4,205440,https://api.spotify.com/v1/tracks/0OCRwXbQRdOZ1OtB4Imsp1,0OCRwXbQRdOZ1OtB4Imsp1,Love Someone,71,spotify:track:0OCRwXbQRdOZ1OtB4Imsp1,FALSE,,album,album,https://api.spotify.com/v1/albums/02gV87QEIFp2T9q7OqVBjj,02gV87QEIFp2T9q7OqVBjj,,3 (The Purple Album),2018-10-26,day,spotify:album:02gV87QEIFp2T9q7OqVBjj,,10,https://open.spotify.com/album/02gV87QEIFp2T9q7OqVBjj,USWB11801903,https://open.spotify.com/track/0OCRwXbQRdOZ1OtB4Imsp1,NA
2022-05-22T20:37:02Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,12,194013,https://api.spotify.com/v1/tracks/6A8dnC0xkiuWN4BshmTB2I,6A8dnC0xkiuWN4BshmTB2I,Oceans Away,58,spotify:track:6A8dnC0xkiuWN4BshmTB2I,FALSE,,album,album,https://api.spotify.com/v1/albums/2FNk380jCQyICbwtkOdEHE,2FNk380jCQyICbwtkOdEHE,,GALLERY,2017-05-19,day,spotify:album:2FNk380jCQyICbwtkOdEHE,,12,https://open.spotify.com/album/2FNk380jCQyICbwtkOdEHE,USAT21603474,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I,NA
2022-05-22T20:37:13Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,8,200312,https://api.spotify.com/v1/tracks/5P4OS6niKRV6zsdPKPcnRM,5P4OS6niKRV6zsdPKPcnRM,Freaking Out,49,spotify:track:5P4OS6niKRV6zsdPKPcnRM,FALSE,,album,album,https://api.spotify.com/v1/albums/1qnAzDoa24ZYCZDzmP74sL,1qnAzDoa24ZYCZDzmP74sL,,ASYLUM,2019-10-11,day,spotify:album:1qnAzDoa24ZYCZDzmP74sL,,9,https://open.spotify.com/album/1qnAzDoa24ZYCZDzmP74sL,USAT21804147,https://open.spotify.com/track/5P4OS6niKRV6zsdPKPcnRM,NA
2022-05-22T20:37:38Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,TRUE,track,FALSE,TRUE,,1,14,294521,https://api.spotify.com/v1/tracks/5kI4eCXXzyuIUXjQra0Cxi,5kI4eCXXzyuIUXjQra0Cxi,betty,68,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,FALSE,,album,album,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,spotify:album:2fenSS68JI1h4Fo296JfGr,,16,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002848,https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi,NA
2022-05-22T20:37:46Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,4,285634,https://api.spotify.com/v1/tracks/4pvb0WLRcMtbPGmtejJJ6y,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),80,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,FALSE,,album,album,https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,,folklore,2020-07-24,day,spotify:album:2fenSS68JI1h4Fo296JfGr,,16,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,USUG12002838,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,NA
2022-05-22T20:38:13Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,2,254333,https://api.spotify.com/v1/tracks/1D7UBHqaPWDbBHs2S5YXge,1D7UBHqaPWDbBHs2S5YXge,Perfect Situation,55,spotify:track:1D7UBHqaPWDbBHs2S5YXge,FALSE,,album,album,https://api.spotify.com/v1/albums/4D8A8M0NJjEdQhusawyeDz,4D8A8M0NJjEdQhusawyeDz,,Make Believe,2005-05-10,day,spotify:album:4D8A8M0NJjEdQhusawyeDz,,12,https://open.spotify.com/album/4D8A8M0NJjEdQhusawyeDz,USUM70506455,https://open.spotify.com/track/1D7UBHqaPWDbBHs2S5YXge,NA
2022-05-22T20:38:36Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,TRUE,track,FALSE,TRUE,,1,1,279204,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,72,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,FALSE,,album,single,https://api.spotify.com/v1/albums/781cKhbTPwLnPmo9BALQl7,781cKhbTPwLnPmo9BALQl7,,Good Days,2020-12-25,day,spotify:album:781cKhbTPwLnPmo9BALQl7,,1,https://open.spotify.com/album/781cKhbTPwLnPmo9BALQl7,USRC12004189,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,NA
2022-05-22T20:38:54Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,TRUE,track,FALSE,TRUE,,1,8,177000,https://api.spotify.com/v1/tracks/7ujx3NYtwO2LkmKGz59mXp,7ujx3NYtwO2LkmKGz59mXp,HUMBLE.,3,spotify:track:7ujx3NYtwO2LkmKGz59mXp,FALSE,,album,album,https://api.spotify.com/v1/albums/7wbJhbCvhPfbK1CLAkpq25,7wbJhbCvhPfbK1CLAkpq25,,DAMN.,2017-04-14,day,spotify:album:7wbJhbCvhPfbK1CLAkpq25,,14,https://open.spotify.com/album/7wbJhbCvhPfbK1CLAkpq25,USUM71703085,https://open.spotify.com/track/7ujx3NYtwO2LkmKGz59mXp,NA
2022-05-22T20:39:05Z,FALSE,NA,https://api.spotify.com/v1/users/22vuuczgj6fzhb3ahyope7ozq,22vuuczgj6fzhb3ahyope7ozq,user,spotify:user:22vuuczgj6fzhb3ahyope7ozq,https://open.spotify.com/user/22vuuczgj6fzhb3ahyope7ozq,NA,,FALSE,track,FALSE,TRUE,,1,6,207000,https://api.spotify.com/v1/tracks/4vsJ7huysKfSMKwFbSwBV3,4vsJ7huysKfSMKwFbSwBV3,High Diving,40,spotify:track:4vsJ7huysKfSMKwFbSwBV3,FALSE,,album,album,https://api.spotify.com/v1/albums/1JiQM9ygHBPtO18Lvqyd2i,1JiQM9ygHBPtO18Lvqyd2i,,You're Welcome,2021-03-05,day,spotify:album:1JiQM9ygHBPtO18Lvqyd2i,,14,https://open.spotify.com/album/1JiQM9ygHBPtO18Lvqyd2i,USAT22006846,https://open.spotify.com/track/4vsJ7huysKfSMKwFbSwBV3,NA
